Target: C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\nunitlite-4.5.csproj
Minimum depth:20
Config: sub+vec
Runtime in ms: 1870
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (432,12)-(433,60) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (435,12)-(436,57)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (435,12)-(436,58) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (387,12)-(388,64)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (435,12)-(436,58) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (416,12)-(417,60)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (454,12)-(455,86) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (387,12)-(388,64)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (454,12)-(455,86) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (413,12)-(414,67)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (454,12)-(455,86) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (416,12)-(417,60)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (454,12)-(455,86) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (429,12)-(430,65)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (454,12)-(455,86) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (432,12)-(433,61)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (454,12)-(455,86) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (435,12)-(436,58)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (454,12)-(455,85) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (387,12)-(388,63)
